,Fec.G2.D42.Chase,Fec.G2.D84.Chase,Fec.G2.D84.Lady,Fec.G2.D84.Leia,Fec.G3.D42.Chloe,Fec.G3.D07.Chloe,Fec.G2.D49.Chase,Fec.G2.D49.Nash,Fec.G3.D14.Leah,Fec.G3.D14.Chloe,Fec.G3.D14.Rex,Fec.G2.D70.Leia,Fec.G2.D84.Terra,Fec.G3.D00.Bailey,Fec.G3.D14.Ozzy,Fec.G2.D42.Terra,Fec.G3.D07.Que,Fec.G3.D07.Rex,Fec.G3.D07.Ozzy,Fec.G2.D56.Terra,Fec.G3.D07.Lexy,Fec.G2.D56.Lady,Fec.G3.D28.Ozzy,Fec.G3.D42.Lexy,Fec.G2.D70.Chase,Fec.G3.D07.Hulk,Fec.G3.D28.Lexy,Fec.G2.D49.Amos,Fec.G3.D28.Rex,Fec.G3.D00.Rex,Fec.G3.D00.Ozzy,Fec.G3.D42.Rex,Fec.G2.D49.Terra,Fec.G2.D56.Leia,Fec.G3.D28.Que,Fec.G3.D14.Bailey,Fec.G2.D70.Mingo,Fec.G3.D14.Hulk,Fec.G2.D84.Mingo,Fec.G3.D42.Leah,Fec.G2.D49.Lady,Fec.G2.D70.Nash,Fec.G2.D70.Lady,Fec.G2.D42.Lady,Fec.G2.D56.Nash,Fec.G2.D49.Leia,Fec.G3.D00.Hulk,Fec.G2.D42.Leia,Fec.G3.D42.Hulk,Fec.G2.D70.Terra,Fec.G2.D56.Amos,Fec.G3.D42.Que,Fec.G2.D56.Mingo,Fec.G3.D28.Hulk,Fec.G2.D42.Amos,Fec.G3.D28.Leah,Fec.G3.D28.Chloe,Fec.G2.D84.Alfie,Fec.G2.D49.Alfie,Fec.G2.D84.Amos,Fec.G2.D84.Nash,Fec.G2.D70.Alfie,Fec.G3.D14.Lexy,Fec.G2.D49.Mingo,Fec.G3.D14.Que,Fec.G3.D00.Lexy,Fec.G3.D00.Leah,Fec.G3.D00.Que,Fec.G3.D07.Leah,Fec.G2.D70.Amos,Fec.G2.D42.Mingo,Fec.G3.D07.Bailey,Fec.G3.D28.Bailey,Fec.G3.D42.Bailey,Fec.G2.D56.Alfie,Fec.G2.D56.Chase,Fec.G3.D00.Chloe,Fec.G3.D42.Ozzy,Fec.G2.D42.Alfie,Fec.G2.D42.Nash
Fec.G2.D42.Chase,0.0,0.659127978487,0.630464150177,0.653337819911,0.709284955537,0.651810732065,0.676687343405,0.657027428985,0.703211133555,0.649898692361,0.670614557593,0.658566353798,0.663391441991,0.71290854992,0.653220611489,0.688393587045,0.658005861618,0.676189246089,0.664718749882,0.639803897078,0.702946865284,0.656403036268,0.670889078599,0.683608994523,0.607637639074,0.723202963494,0.692841783978,0.717762446276,0.688219000503,0.684043289358,0.646460436034,0.661126933176,0.660790057089,0.65010249847,0.648989711517,0.72435573299,0.669237012806,0.695720052829,0.6746107305,0.657087044081,0.664189811489,0.68678738024,0.62597571452,0.594426546137,0.669288437526,0.643902029341,0.73312195967,0.694376796123,0.718094303387,0.646897758082,0.675464206344,0.668538322947,0.664837875362,0.698707516112,0.73626588745,0.69152754234,0.686748893393,0.70876751803,0.705393755045,0.676211381187,0.647864569017,0.710863061086,0.68071138524,0.65770409617,0.64149083071,0.718040735,0.710515504519,0.68896924405,0.713532524639,0.664907553248,0.697933118904,0.726243898515,0.65501996165,0.690965754643,0.692365006287,0.663967800686,0.664995921154,0.682976314082,0.664627320426,0.676876658076
Fec.G2.D84.Chase,0.659127978487,0.0,0.641170221727,0.673412368452,0.673236579586,0.631840250508,0.634149727706,0.648305471059,0.681385876539,0.611012191741,0.671137119823,0.648377122801,0.664615909311,0.746753536615,0.640469747185,0.694430156121,0.665208774026,0.652533646059,0.637827157118,0.644531325801,0.667429366333,0.638277063063,0.701938198696,0.67865813299,0.632112116484,0.710088928746,0.691166705154,0.668416560375,0.713953039748,0.7043874044,0.664952336582,0.697139140372,0.65637618954,0.65672136493,0.703752222666,0.732408965003,0.705361454828,0.688561053454,0.699470443533,0.690648889214,0.629816099096,0.71638896048,0.664389659139,0.662113636502,0.679508088895,0.668554279665,0.756386121944,0.736468190767,0.738097426055,0.643745762175,0.682430807104,0.694353934699,0.704554142009,0.71048314674,0.757700286741,0.695710571376,0.699929485902,0.730478690102,0.694640232675,0.704719841252,0.702256446578,0.738481962075,0.683346728035,0.712998028534,0.623949775879,0.763894337383,0.733098769834,0.708656437997,0.688218911927,0.701447826369,0.720573611787,0.70148440497,0.722539431123,0.713971638477,0.697511084671,0.65688595707,0.712970800166,0.703591226939,0.722475004394,0.710481714972
Fec.G2.D84.Lady,0.630464150177,0.641170221727,0.0,0.679080605146,0.663061084985,0.673429051367,0.730351335249,0.708263058372,0.730012811825,0.632948278349,0.67020463843,0.631918444602,0.63474515161,0.677002568282,0.694706722283,0.618568638119,0.674899667043,0.694443408356,0.70540247031,0.66994727992,0.711717988435,0.70895419574,0.640641604572,0.709883735947,0.634027080228,0.717766187191,0.69533292316,0.735301249414,0.669591012783,0.647443903653,0.629111199845,0.614777687323,0.662340806337,0.678916886982,0.641451917296,0.758084336391,0.678400331389,0.726820390724,0.680319603419,0.687341036781,0.689159248237,0.656509744116,0.641204741854,0.614283973896,0.720936675987,0.694177746201,0.679105973799,0.659639698566,0.694087145735,0.670180688118,0.72331372467,0.647302202781,0.716177548321,0.673162544751,0.703060837796,0.711366833831,0.687835636049,0.648748517243,0.756681234269,0.627155314769,0.650143400696,0.694966121586,0.716819190682,0.731769324926,0.645338480632,0.696776772071,0.701949462419,0.645566767218,0.740668185349,0.632049600336,0.670587358489,0.74501583223,0.710151547315,0.68582631195,0.720471759995,0.72315785598,0.63255872421,0.663023894632,0.633623456984,0.65915277274
Fec.G2.D84.Leia,0.653337819911,0.673412368452,0.679080605146,0.0,0.697668210092,0.648950965501,0.70703333734,0.653669862374,0.69118925474,0.664612853365,0.666402780705,0.67373910127,0.66249286498,0.667935935876,0.677223425825,0.64686986569,0.671663321303,0.655518573137,0.681659954744,0.652952964509,0.663502645405,0.662334279819,0.634709120218,0.676221985699,0.674440430297,0.703312801375,0.684787949272,0.705559175715,0.675889915348,0.650901905529,0.648855794534,0.645082914355,0.631853708432,0.68208507889,0.628839661929,0.720596807323,0.695622155236,0.67865041668,0.692315279983,0.686984524908,0.676396253723,0.631610793598,0.619825821526,0.646746423637,0.663338503992,0.664307156172,0.662156881277,0.655664322769,0.650654873319,0.66588853113,0.690608411923,0.64561969742,0.671831699862,0.710690280204,0.681246858832,0.716137575222,0.645318671444,0.684674435545,0.713141832365,0.690098173219,0.637065280572,0.695673085872,0.676979687039,0.700186118834,0.647099684526,0.674603670437,0.655632210905,0.612505466928,0.686327816592,0.682881304023,0.653357656894,0.708784795215,0.69445253884,0.703430740659,0.67023332762,0.681033381875,0.641808056593,0.641768023246,0.659136463838,0.646357056369
Fec.G3.D42.Chloe,0.709284955537,0.673236579586,0.663061084985,0.697668210092,0.0,0.687797606608,0.725286885055,0.71036190515,0.722604114117,0.638185001472,0.673910421849,0.679320310764,0.682982339425,0.711312610275,0.714215132376,0.671973902939,0.716854193976,0.710099178084,0.719293357376,0.688025427582,0.72926094011,0.707169508021,0.698733393948,0.706852023928,0.682078026352,0.757481722441,0.702797221439,0.736498593712,0.668746156369,0.699247283353,0.681579406967,0.64573381344,0.683074454025,0.702654352505,0.680188508067,0.781694938336,0.726435967316,0.736531660818,0.737216410327,0.697729278096,0.708044716879,0.697021465495,0.68144506008,0.688703244475,0.732659381039,0.728643454327,0.718491051333,0.700158637076,0.698633719013,0.726145286058,0.734296388461,0.660642212455,0.730961503149,0.713235975257,0.74218958158,0.733068312864,0.670951992263,0.700224759274,0.732862161424,0.715246316219,0.702325966943,0.716854614013,0.735349909452,0.760102733299,0.701069802541,0.748931963504,0.717485685196,0.667971373864,0.753115201049,0.714335805835,0.727850468296,0.761292282494,0.747779240879,0.726189570193,0.7395781049,0.71024427707,0.715865581252,0.712358164232,0.707714831339,0.716538238929
Fec.G3.D07.Chloe,0.651810732065,0.631840250508,0.673429051367,0.648950965501,0.687797606608,0.0,0.65910348545,0.603843479255,0.65110395412,0.5758057784,0.640213768689,0.662096099178,0.676792687439,0.724967300595,0.588813537814,0.677241561123,0.58271750657,0.579474983379,0.581041494498,0.616658126399,0.599574145868,0.594877212751,0.674828274244,0.63166849053,0.662837951573,0.653384967767,0.654110690938,0.620487838041,0.729890719279,0.719823489063,0.647638382006,0.697515880781,0.594520984376,0.630261475942,0.688271277227,0.667708292543,0.682416028093,0.620499911771,0.656063199809,0.681593869232,0.593463899364,0.690938480504,0.688457436127,0.655994634938,0.61236556294,0.627570419928,0.733851056723,0.731657816523,0.710462346298,0.613605107058,0.632209615212,0.685296867294,0.62687196791,0.705975234455,0.756235275615,0.68009475638,0.708182155644,0.717648241622,0.671004455972,0.678208910798,0.679683447945,0.727058062523,0.608282284891,0.644271519252,0.593593878816,0.726005100713,0.689727695719,0.691894154706,0.622121637026,0.69952771284,0.700089139015,0.640176493474,0.694682130071,0.71397559343,0.636639989148,0.62634217364,0.679091006743,0.693163596837,0.713176863344,0.686070173806
Fec.G2.D49.Chase,0.676687343405,0.634149727706,0.730351335249,0.70703333734,0.725286885055,0.65910348545,0.0,0.61814566821,0.654819000816,0.667635972148,0.682268485298,0.737081601392,0.730627379171,0.78737554753,0.633814971519,0.759225996415,0.669299135266,0.639877242461,0.647666295883,0.682486342116,0.666808315739,0.613742572483,0.73987368241,0.707589214282,0.68070842914,0.684254050541,0.722622917564,0.661263010659,0.743351346991,0.748428117318,0.706230467768,0.758330987892,0.680008840803,0.636573306339,0.759527499062,0.690374929311,0.747206354255,0.656714614072,0.740388842734,0.744952291054,0.577183095433,0.761312199272,0.72360708942,0.687285158798,0.619343600568,0.635638317002,0.801946317307,0.783886576715,0.78043453037,0.641577399858,0.640073514443,0.749030158063,0.675698386665,0.774715418111,0.804077098907,0.729734065849,0.744508350307,0.784587419397,0.656374137206,0.744407453216,0.744159933983,0.775437913078,0.667018903977,0.657697993924,0.665782228031,0.789464750055,0.769826621733,0.757465647816,0.698392886484,0.759703472053,0.764360296535,0.677955596455,0.717342471958,0.763918459489,0.715254990564,0.629271219735,0.736939080916,0.749149670952,0.771345398971,0.756012397146
Fec.G2.D49.Nash,0.657027428985,0.648305471059,0.708263058372,0.653669862374,0.71036190515,0.603843479255,0.61814566821,0.0,0.594125658963,0.625136962603,0.647210417542,0.704081488981,0.701134389744,0.753486977782,0.569315458717,0.727371348979,0.627810456065,0.573648384743,0.566502830153,0.618882988229,0.598764407328,0.556095034718,0.696167492576,0.655383654999,0.689897772768,0.617380843945,0.705196931521,0.608319493587,0.735746306169,0.736428597823,0.671218365729,0.72478552721,0.621116072291,0.607467831593,0.712391517378,0.603366586571,0.709495469084,0.593256545634,0.702015927629,0.711841470089,0.539793625687,0.708244811239,0.7066837517,0.656368514994,0.512400123981,0.582401884642,0.766499554323,0.76646325783,0.748281565074,0.600097194244,0.597266061538,0.712470130806,0.636022230442,0.743423048778,0.786974206166,0.716538601168,0.720455904191,0.756203001896,0.60511650336,0.715839774384,0.709821317577,0.75797239645,0.603352153944,0.625922699995,0.587224246102,0.759368867173,0.731156001229,0.70114320615,0.610825201388,0.731668077227,0.730709600154,0.610155929859,0.688862599516,0.733222063021,0.652523150399,0.57355637908,0.707148932521,0.705861302767,0.746096444989,0.702524161372
Fec.G3.D14.Leah,0.703211133555,0.681385876539,0.730012811825,0.69118925474,0.722604114117,0.65110395412,0.654819000816,0.594125658963,0.0,0.684697632541,0.68300316444,0.710377368846,0.741040789032,0.754782718253,0.618463364184,0.757434361499,0.631800476515,0.624302607712,0.61753347069,0.686368649035,0.566660259032,0.575374485028,0.745701085825,0.626715432432,0.713698625671,0.616464190807,0.658548642816,0.55796097543,0.762550801506,0.767579452682,0.714529366622,0.764183344067,0.67620203445,0.62715426194,0.758557706306,0.613489547262,0.710716397452,0.577254409977,0.695042587104,0.697430129899,0.594701747981,0.754380823019,0.74799651659,0.716636504202,0.618781123979,0.678158021805,0.776116729319,0.764657052781,0.762048064667,0.667052706216,0.587831790719,0.759441459387,0.612892597566,0.721617044097,0.806088515942,0.71716372074,0.755167040278,0.764003982281,0.611991633116,0.711825530343,0.749459459722,0.763037292436,0.570448314349,0.618073871765,0.634151997261,0.759197167966,0.732740015561,0.745915460656,0.558132202787,0.728216311376,0.738648622316,0.578754351961,0.670090209541,0.719754389899,0.597267894828,0.604900925722,0.737636968638,0.749191122069,0.747060773724,0.741710748442
Fec.G3.D14.Chloe,0.649898692361,0.611012191741,0.632948278349,0.664612853365,0.638185001472,0.5758057784,0.667635972148,0.625136962603,0.684697632541,0.0,0.601414548117,0.63325932035,0.635551120187,0.707764285615,0.633291282258,0.647804956185,0.617417302793,0.620601651588,0.644149375875,0.602017215412,0.656721902498,0.641403968768,0.657322533355,0.640961718082,0.637529436298,0.691102233118,0.677022186455,0.671175757638,0.702659090803,0.675425123188,0.637342791667,0.655409732707,0.623857088743,0.641012555334,0.695875361043,0.703605073626,0.662926582622,0.655733525306,0.65943318699,0.679736929488,0.621440311859,0.668250752503,0.651825779163,0.620798352115,0.649297395826,0.619822829855,0.723573687258,0.707112355735,0.701319604194,0.598163934506,0.664898455535,0.649588026692,0.672172911914,0.691468613987,0.73020094838,0.671840076951,0.685265909863,0.702002172837,0.68059784797,0.679216358268,0.667832523018,0.720644773693,0.65475456206,0.690532481558,0.605047756826,0.72376448799,0.696851044445,0.672470013742,0.690545250938,0.682623137812,0.675939402882,0.6919316221,0.694590380996,0.683935369004,0.662991414739,0.648138968374,0.666744172979,0.666505135006,0.686414231698,0.670546525653
