	RS34.D0	RS34.D2	RS37.D5	RS35.D0	RS35.D2	RS38.D5	RS36.D0	RS36.D2	RS54.D5	RS38.D0	RS38.D2	RS35.D5	RS39.D0	RS39.D2	RS34.D5	RS45.D0	RS45.D2	RS45.D5.C	RS49.D0	RS49.D2	RS49.D5	RS51.D0	RS51.D2	RS51.D5	RS55.D0	RS55.D2	RS55.D5	RS31.D0	RS31.D2	RS31.D5	RS32.D0	RS32.D2	RS32.D5	RS33.D0	RS33.D2	RS33.D5	RS54.D0	RS54.D2	RS36.D5	RS40.D0	RS40.D2	RS40.D5	RS48.D0	RS48.D2	RS48.D5	RS50.D0	RS50.D2	RS50.D5
RS34.D0	0.0	0.579338900228	0.583683801399	0.571342503537	0.582660264189	0.579476461417	0.582745213782	0.567596616295	0.558749246237	0.572461553776	0.627481797741	0.589314602345	0.765263190545	0.575319972455	0.637750649241	0.57473176005	0.579401659876	0.600344462106	0.579825457079	0.593616965097	0.581023899638	0.586076275593	0.574222423109	0.569455037703	0.579528183783	0.574778299754	0.563086117617	0.581988375243	0.582595442122	0.584749676481	0.577248741039	0.57585388597	0.570047544224	0.57525023508	0.588394822454	0.569050738299	0.584366377525	0.577198582645	0.569529746106	0.574549116096	0.579888986593	0.58245887804	0.595807251545	0.598492968974	0.586625939237	0.595463650752	0.639542531539	0.599251911546
RS34.D2	0.579338900228	0.0	0.585067241444	0.596704363685	0.564369666486	0.561958029039	0.592423006616	0.560852375027	0.577292232411	0.593689010628	0.582233140655	0.579722449486	0.73164468128	0.579083437581	0.601483186549	0.579881193202	0.578973105338	0.585614733314	0.590563923214	0.596028153639	0.584714469799	0.59226002055	0.584534119272	0.570463345992	0.56326561231	0.584456494898	0.571756813056	0.599566773969	0.583436714566	0.576465767219	0.598005609464	0.569649003322	0.578707467957	0.579695821255	0.569321612821	0.579726996196	0.586176202571	0.586595405257	0.580411076755	0.577727872418	0.56803869005	0.596644596389	0.578378275917	0.588832489206	0.591002038269	0.577979855547	0.592415196466	0.596381617149
RS37.D5	0.583683801399	0.585067241444	0.0	0.554628931972	0.541945827624	0.5169560625	0.571185376359	0.552386756165	0.567143376458	0.578137791015	0.591706741932	0.58550805367	0.736163656756	0.575225041581	0.611916290785	0.577405032136	0.582663201664	0.573722228453	0.57249132967	0.561525455822	0.57293713954	0.58333182373	0.578563759477	0.571510631872	0.564567632509	0.569705947169	0.565156752788	0.584607076002	0.582050253511	0.569807197176	0.598133182146	0.566637765875	0.587682293038	0.585737344383	0.579325688961	0.571625594713	0.585375321761	0.591069673311	0.563736814806	0.580994004295	0.561576246069	0.568136475927	0.571910127524	0.578343570801	0.574183654478	0.594701596838	0.616329269174	0.61170721144
RS35.D0	0.571342503537	0.596704363685	0.554628931972	0.0	0.554815396475	0.549212571622	0.555086107803	0.553317215003	0.570679855363	0.559570798159	0.603845147354	0.588870241037	0.753929404513	0.577880590079	0.633369499134	0.568721486706	0.580032358352	0.579278448808	0.574306317797	0.588513376547	0.573191058241	0.587868338076	0.576451398333	0.578512858125	0.567356417444	0.559487929447	0.562141146747	0.568164185142	0.57742061028	0.562203664804	0.575350772353	0.558489677188	0.570730564011	0.577398677496	0.581663647893	0.560814889867	0.565350841317	0.579650311775	0.566807630248	0.570381736577	0.563314875906	0.570478685707	0.579334001785	0.589733953673	0.578483740179	0.58476695947	0.629031102119	0.603240257741
RS35.D2	0.582660264189	0.564369666486	0.541945827624	0.554815396475	0.0	0.542091714841	0.569219372405	0.554072279499	0.574553708652	0.578887009847	0.59358073919	0.57387550429	0.744309037265	0.576941102921	0.608788238482	0.582160663547	0.562065454795	0.582561970139	0.576468341243	0.573910829135	0.572359936864	0.584922323056	0.567061963476	0.567816321424	0.553377364719	0.579180406528	0.56456443295	0.587166135715	0.569409782628	0.569046246635	0.590572549866	0.561003637993	0.573319283947	0.586098345433	0.577297810214	0.572951074247	0.586503122814	0.571138305131	0.570209286016	0.566609706249	0.557258768476	0.583055380155	0.588337080898	0.573874001805	0.583001363288	0.583504942653	0.606698545558	0.600003378898
RS38.D5	0.579476461417	0.561958029039	0.5169560625	0.549212571622	0.542091714841	0.0	0.554962144861	0.540851561617	0.560478558354	0.565642866179	0.5782058376	0.567396479842	0.721577065703	0.569219556296	0.60744740288	0.565143677386	0.576277611374	0.568332810796	0.56376419017	0.566087128633	0.561371340116	0.579471122408	0.563073059237	0.563896994588	0.555135361843	0.562144272037	0.5544773963	0.583361937903	0.570933616304	0.564978049813	0.591826365194	0.563320737349	0.580661316455	0.579376949947	0.578517962989	0.562573446338	0.575969819586	0.592687280523	0.563037284658	0.571153290722	0.555866308357	0.569206739301	0.561810576507	0.58179657268	0.578021750951	0.582091953551	0.613339322596	0.609812481465
RS36.D0	0.582745213782	0.592423006616	0.571185376359	0.555086107803	0.569219372405	0.554962144861	0.0	0.55273965761	0.569842541268	0.569707902945	0.578084202595	0.590392387517	0.725527489917	0.584278829857	0.605992760987	0.571531763783	0.567374374904	0.553827872948	0.569997238199	0.575831935634	0.577175353616	0.58385272291	0.575026714444	0.578402736138	0.571149781569	0.570898759479	0.55855111	0.564663980502	0.565372062881	0.553220628087	0.578449896528	0.555399047654	0.562029184971	0.566628767538	0.564868762684	0.566621409382	0.566971681071	0.575932036408	0.575211805253	0.562283457655	0.562357166338	0.571295044652	0.558146219902	0.58143170172	0.577980643158	0.589857854496	0.608506922248	0.604662786129
RS36.D2	0.567596616295	0.560852375027	0.552386756165	0.553317215003	0.554072279499	0.540851561617	0.55273965761	0.0	0.542877731361	0.563962765771	0.591759087973	0.575336929093	0.733424004011	0.565810576149	0.608950387413	0.561378157979	0.572099594501	0.561707848493	0.572263888049	0.57373367091	0.566923129335	0.567081549974	0.56431003386	0.561057435674	0.548529675632	0.560397860299	0.553684811718	0.562195357589	0.55461944201	0.556492103258	0.572948285704	0.551803159906	0.559225365765	0.555508029604	0.569940852916	0.557740764001	0.576512348307	0.569612830641	0.56095239538	0.566394872843	0.540038036365	0.575760359673	0.571063706285	0.584432409089	0.563371187846	0.569297015275	0.598010442379	0.592990749274
RS54.D5	0.558749246237	0.577292232411	0.567143376458	0.570679855363	0.574553708652	0.560478558354	0.569842541268	0.542877731361	0.0	0.560836862405	0.607897870274	0.570215692389	0.753267486532	0.570600403728	0.63010861848	0.572358635967	0.575596010734	0.590224300871	0.573638462691	0.594392995776	0.571317160323	0.58462601341	0.571315130033	0.569559360739	0.570992074697	0.572519384753	0.554648126361	0.577309525118	0.57919324838	0.577618372706	0.576415469227	0.575698829422	0.572046720197	0.589036547399	0.584751821557	0.574772522445	0.571021995177	0.586565895676	0.570515580678	0.576810002419	0.564103499363	0.566401768319	0.5952620203	0.580296862629	0.580632012409	0.577077998668	0.623757405069	0.59728692189
RS38.D0	0.572461553776	0.593689010628	0.578137791015	0.559570798159	0.578887009847	0.565642866179	0.569707902945	0.563962765771	0.560836862405	0.0	0.597471609201	0.581583489849	0.763084327945	0.573123087611	0.637485635459	0.575841949615	0.570413001961	0.574185151456	0.573376445285	0.593841815201	0.569278640293	0.587085230317	0.568361452022	0.576099253155	0.570533909449	0.574661195292	0.558967411077	0.561856844447	0.574010410086	0.559786284225	0.572797762168	0.565346194601	0.569430703629	0.569734150876	0.592142311224	0.566180273953	0.569374256848	0.585107518795	0.575334805239	0.57755409197	0.570801919112	0.579016216908	0.581994937332	0.593378975615	0.578071501086	0.58654356695	0.631179163692	0.597383820628
RS38.D2	0.627481797741	0.582233140655	0.591706741932	0.603845147354	0.59358073919	0.5782058376	0.578084202595	0.591759087973	0.607897870274	0.597471609201	0.0	0.5815491965	0.701597356859	0.611514811928	0.57667539627	0.604261827795	0.574471871373	0.573359335703	0.604351457311	0.600122143635	0.602849176854	0.608384485508	0.595959758967	0.599683492045	0.591292037441	0.598495045163	0.580325040229	0.607301942106	0.598136908201	0.587686958502	0.617435238937	0.588704983076	0.607628188649	0.595971521565	0.589620662311	0.59972980545	0.61176230002	0.584963748992	0.622720990203	0.599658986973	0.574376955189	0.602944841648	0.588705947955	0.577259424625	0.598100360457	0.608081186951	0.579132068379	0.614993259556
RS35.D5	0.589314602345	0.579722449486	0.58550805367	0.588870241037	0.57387550429	0.567396479842	0.590392387517	0.575336929093	0.570215692389	0.581583489849	0.5815491965	0.0	0.74649438168	0.581576655107	0.610266925405	0.596095201785	0.580698831415	0.602875744612	0.596497450678	0.592307191237	0.578273712913	0.595798500247	0.58248714282	0.577694175404	0.583946825516	0.586338989992	0.575744039747	0.602300753559	0.586269581057	0.593022202347	0.594117205141	0.580486773939	0.59314918294	0.592569795604	0.594398346792	0.590293472129	0.59627360062	0.590174335646	0.594509904161	0.59084676434	0.570037399139	0.592637668203	0.605804731639	0.573056206468	0.587924701456	0.584339633625	0.626385168678	0.605735521353
RS39.D0	0.765263190545	0.73164468128	0.736163656756	0.753929404513	0.744309037265	0.721577065703	0.725527489917	0.733424004011	0.753267486532	0.763084327945	0.701597356859	0.74649438168	0.0	0.739770619345	0.651313675312	0.735282631309	0.742470031094	0.708954402688	0.755312304444	0.731523711655	0.746180575394	0.751183485794	0.749585854649	0.743184891115	0.723948509843	0.738533685658	0.721463062119	0.759685678041	0.746050027847	0.726917704723	0.767772594127	0.735572875605	0.751404566984	0.725785407068	0.716450285038	0.747365965962	0.75123139982	0.723678311501	0.744615684548	0.740891202966	0.724791454631	0.739672424471	0.704393911544	0.741620317489	0.745829821659	0.739274442356	0.669552477241	0.744184374386
